year_film,year_ceremony,ceremony,category,nominee,film,winner
1982,1983,40,Best Original Song - Motion Picture,"Putting Out the Fire (Theme From Cat People), Giorgio Moroder, David Bowie",Cat People,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Drama,Emily Watson,Breaking the Waves,False
1996,1997,54,Best Performance by an Actor in a Motion Picture - Drama,Geoffrey Rush,Shine,True
1996,1997,54,Best Director - Motion Picture,Scott Hicks,Shine,False
1996,1997,54,Best Screenplay - Motion Picture,Jan Sardi,Shine,False
1996,1997,54,Best Original Score - Motion Picture,David Hirschfelder,Shine,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Glenn Close,101 Dalmatians,False
1979,1980,37,Best Original Score - Motion Picture,Jerry Goldsmith,Star Trek: The Motion Picture,False
1990,1991,48,Best Original Song - Motion Picture,"Blaze of Glory, Jon Bon Jovi",Young Guns II,True
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Olivia Newton-John,Grease,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Grease,False
1978,1979,36,Best Original Song - Motion Picture,"Grease, Barry Gibb",Grease,False
1978,1979,36,Best Original Song - Motion Picture,"You're the One That I Want, John Farrar",Grease,False
1975,1976,33,Best Director - Motion Picture,Steven Spielberg,Jaws,False
1975,1976,33,Best Screenplay - Motion Picture,Peter Benchley,Jaws,False
1975,1976,33,Best Original Score - Motion Picture,John Williams,Jaws,True
1996,1997,54,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Cruise,Jerry Maguire,True
1996,1997,54,Best Performance by an Actor in a Supporting Role in any Motion Picture,Cuba Gooding Jr.,Jerry Maguire,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Marvin's Room,False
1996,1997,54,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Woods,Ghosts of Mississippi,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Debbie Reynolds,Mother,False
1996,1997,54,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Madonna,Evita,True
1996,1997,54,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Antonio Banderas,Evita,False
1996,1997,54,Best Director - Motion Picture,Alan Parker,Evita,False
1996,1997,54,Best Original Song - Motion Picture,"""You Must Love Me"", Andrew Lloyd Webber, Tim Rice",Evita,True
1993,1994,51,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Benny & Joon,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Liar Liar,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lopez,Selena,False
1997,1998,55,Best Original Song - Motion Picture,"Go the Distance, Alan Menken, David Zippel",Hercules,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,My Best Friend's Wedding,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Rupert Everett,My Best Friend's Wedding,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Contact,False
1982,1983,40,New Star Of The Year - Actress,Sandahl Bergman,Conan the Barbarian,True
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,In & Out,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Cusack,In & Out,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Basinger,L.A. Confidential,True
1997,1998,55,Best Director - Motion Picture,Curtis Hanson,L.A. Confidential,False
1997,1998,55,Best Screenplay - Motion Picture,Curtis Hanson,L.A. Confidential,False
1997,1998,55,Best Original Score - Motion Picture,Jerry Goldsmith,L.A. Confidential,False
1997,1998,55,Best Original Score - Motion Picture,John Williams,Seven Years in Tibet,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Peter Fonda,Ulee's Gold,True
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Joey Lauren Adams,Chasing Amy,False
1997,1998,55,Best Original Score - Motion Picture,Michael Nyman,Gattaca,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julianne Moore,Boogie Nights,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burt Reynolds,Boogie Nights,True
1985,1986,43,Best Performance by an Actor in a Motion Picture - Drama,Harrison Ford,Witness,False
1985,1986,43,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kelly McGillis,Witness,False
1985,1986,43,Best Director - Motion Picture,Peter Weir,Witness,False
1985,1986,43,Best Screenplay - Motion Picture,William Kelley,Witness,False
1985,1986,43,Best Original Score - Motion Picture,Maurice Jarre,Witness,False
1997,1998,55,Best Original Song - Motion Picture,"""Journey to the Past"", Stephen Flaherty, Lynn Ahrens",Anastasia,False
1997,1998,55,Best Original Song - Motion Picture,"""Once Upon a December"", Stephen Flaherty, Lynn Ahrens",Anastasia,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Djimon Hounsou,Amistad,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Hopkins,Amistad,False
1997,1998,55,Best Director - Motion Picture,Steven Spielberg,Amistad,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,Good Will Hunting,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robin Williams,Good Will Hunting,False
1997,1998,55,Best Screenplay - Motion Picture,"Ben Affleck, Matt Damon",Good Will Hunting,True
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Titanic,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Titanic,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Stuart,Titanic,False
1997,1998,55,Best Director - Motion Picture,James Cameron,Titanic,True
1997,1998,55,Best Screenplay - Motion Picture,James Cameron,Titanic,False
1997,1998,55,Best Original Score - Motion Picture,James Horner,Titanic,True
1997,1998,55,Best Original Song - Motion Picture,"""My Heart Will Go On"", James Horner, Will Jennings",Titanic,True
1997,1998,55,Best Original Song - Motion Picture,"""Tomorrow Never Dies"", Sheryl Crow, Mitchell Froom",Tomorrow Never Dies,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pam Grier,Jackie Brown,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Samuel L. Jackson,Jackie Brown,False
1997,1998,55,Best Original Score - Motion Picture,Philip Glass,Kundun,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Wag the Dog,False
1997,1998,55,Best Screenplay - Motion Picture,Hilary Henkin,Wag the Dog,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hunt,As Good as It Gets,True
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,As Good as It Gets,True
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Greg Kinnear,As Good as It Gets,False
1997,1998,55,Best Director - Motion Picture,James L. Brooks,As Good as It Gets,False
1997,1998,55,Best Screenplay - Motion Picture,Mark Andrus,As Good as It Gets,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Primary Colors,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,Primary Colors,False
1998,1999,56,Best Original Song - Motion Picture,"""Uninvited"", Alanis Morissette",City of Angels,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Bulworth,False
1998,1999,56,Best Screenplay - Motion Picture,Warren Beatty,Bulworth,False
1998,1999,56,Best Original Score - Motion Picture,Jerry Goldsmith,Mulan,False
1998,1999,56,Best Original Song - Motion Picture,"Reflection, Matthew Wilder, David Zippel",Mulan,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cameron Diaz,There's Something About Mary,False
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way,True
1944,1945,2,Best Director - Motion Picture,Leo McCarey,Going My Way,True
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement,True
1947,1948,5,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement,True
1947,1948,5,Juvenile Performance,Dean Stockwell,Gentleman's Agreement,True
1953,1954,11,Best Performance by an Actor in a Supporting Role in any Motion Picture,Frank Sinatra,From Here to Eternity,True
1953,1954,11,Best Director - Motion Picture,Fred Zinnemann,From Here to Eternity,True
1954,1955,12,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,On the Waterfront,True
1954,1955,12,Best Director - Motion Picture,Elia Kazan,On the Waterfront,True
1954,1955,12,Cinematography - Black And White,Boris Kaufman,On the Waterfront,True
1955,1956,13,Best Performance by an Actor in a Motion Picture - Drama,Ernest Borgnine,Marty,True
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Beymer,West Side Story,False
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rita Moreno,West Side Story,True
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Chakiris,West Side Story,True
1961,1962,19,Best Director - Motion Picture,Robert Wise,West Side Story,False
1961,1962,19,New Star Of The Year - Actor,George Chakiris,West Side Story,False
1961,1962,19,New Star Of The Year - Actor,Richard Beymer,West Side Story,False
1963,1964,21,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Albert Finney,Tom Jones,False
1963,1964,21,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Greenwood,Tom Jones,False
1963,1964,21,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hugh Griffith,Tom Jones,False
1963,1964,21,Best Director - Motion Picture,Tony Richardson,Tom Jones,False
1963,1964,21,New Star Of The Year - Actor,Albert Finney,Tom Jones,True
1963,1964,21,Foreign Film - English Language,United Kingdom,Tom Jones,False
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Rod Steiger,In the Heat of the Night,True
1967,1968,25,Best Performance by an Actor in a Motion Picture - Drama,Sidney Poitier,In the Heat of the Night,False
1967,1968,25,Best Performance by an Actress in a Supporting Role in any Motion Picture,Quentin Dean,In the Heat of the Night,False
1967,1968,25,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,In the Heat of the Night,False
1967,1968,25,Best Director - Motion Picture,Norman Jewison,In the Heat of the Night,False
1967,1968,25,Best Screenplay - Motion Picture,Stirling Silliphant,In the Heat of the Night,True
1968,1969,26,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ron Moody,Oliver!,True
1968,1969,26,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hugh Griffith,Oliver!,False
1968,1969,26,Best Director - Motion Picture,Carol Reed,Oliver!,False
1968,1969,26,Best Original Score - Motion Picture,Lionel Bart,Oliver!,False
1968,1969,26,New Star Of The Year - Actor,Jack Wild,Oliver!,False
1969,1970,27,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Midnight Cowboy,False
1969,1970,27,Best Performance by an Actor in a Motion Picture - Drama,Jon Voight,Midnight Cowboy,False
1969,1970,27,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Vaccaro,Midnight Cowboy,False
1969,1970,27,Best Director - Motion Picture,John Schlesinger,Midnight Cowboy,False
1969,1970,27,Best Screenplay - Motion Picture,Waldo Salt,Midnight Cowboy,False
1969,1970,27,New Star Of The Year - Actor,Jon Voight,Midnight Cowboy,True
1976,1977,34,Best Performance by an Actress in a Motion Picture - Drama,Talia Shire,Rocky,False
1976,1977,34,Best Performance by an Actor in a Motion Picture - Drama,Sylvester Stallone,Rocky,False
1976,1977,34,Best Director - Motion Picture,John G. Avildsen,Rocky,False
1976,1977,34,Best Screenplay - Motion Picture,Sylvester Stallone,Rocky,False
1976,1977,34,Best Original Score - Motion Picture,Bill Conti,Rocky,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Kramer vs. Kramer,True
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Kramer vs. Kramer,True
1979,1980,37,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jane Alexander,Kramer vs. Kramer,False
1979,1980,37,Best Performance by an Actor in a Supporting Role in any Motion Picture,Justin Henry,Kramer vs. Kramer,False
1979,1980,37,Best Director - Motion Picture,Robert Benton,Kramer vs. Kramer,False
1979,1980,37,Best Screenplay - Motion Picture,Robert Benton,Kramer vs. Kramer,True
1979,1980,37,New Star Of The Year - Actor,Justin Henry,Kramer vs. Kramer,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Drama,Mary Tyler Moore,Ordinary People,True
1980,1981,38,Best Performance by an Actor in a Motion Picture - Drama,Donald Sutherland,Ordinary People,False
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Timothy Hutton,Ordinary People,True
1980,1981,38,Best Performance by an Actor in a Supporting Role in any Motion Picture,Judd Hirsch,Ordinary People,False
1980,1981,38,Best Director - Motion Picture,Robert Redford,Ordinary People,True
1980,1981,38,Best Screenplay - Motion Picture,Alvin Sargent,Ordinary People,False
1980,1981,38,New Star Of The Year - Actor,Timothy Hutton,Ordinary People,True
1983,1984,41,Best Performance by an Actress in a Motion Picture - Drama,Shirley MacLaine,Terms of Endearment,True
1983,1984,41,Best Performance by an Actress in a Motion Picture - Drama,Debra Winger,Terms of Endearment,False
1983,1984,41,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,Terms of Endearment,True
1983,1984,41,Best Director - Motion Picture,James L. Brooks,Terms of Endearment,False
1983,1984,41,Best Screenplay - Motion Picture,James L. Brooks,Terms of Endearment,True
1985,1986,43,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Out of Africa,False
1985,1986,43,Best Performance by an Actor in a Supporting Role in any Motion Picture,Klaus Maria Brandauer,Out of Africa,True
1985,1986,43,Best Director - Motion Picture,Sydney Pollack,Out of Africa,False
